dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.881438,5.183992,0.000218,0.021793,1.089634,54.481694,4.303868
0.020000,3.881513,5.184166,0.000407,0.009459,-0.616706,-85.317018,4.304419
0.020000,3.881116,5.183246,0.001408,0.050068,2.030480,132.359320,4.305662
0.020000,3.880040,5.180740,0.004136,0.136367,4.314940,114.223007,4.307877
0.020000,3.878372,5.176824,0.008392,0.212821,3.822714,-24.611323,4.311353
0.020000,3.875998,5.171186,0.014510,0.305900,4.653929,41.560762,4.316390
0.020000,3.872885,5.163668,0.022647,0.406846,5.047287,19.667895,4.323166
0.020000,3.869077,5.154272,0.032785,0.506909,5.003167,-2.205987,4.331732
0.020000,3.864634,5.142998,0.044903,0.605877,4.948393,-2.738690,4.342153
0.020000,3.859624,5.129850,0.058973,0.703517,4.882014,-3.318982,4.354505
0.020000,3.854129,5.114832,0.074966,0.799619,4.805097,-3.845819,4.368878
0.020000,3.848246,5.097948,0.092845,0.893980,4.718045,-4.352593,4.385373
0.020000,3.842083,5.079207,0.112574,0.986419,4.621948,-4.804853,4.404103
0.020000,3.835764,5.058619,0.134109,1.076785,4.518317,-5.181554,4.425189
0.020000,3.829426,5.036198,0.157409,1.164985,4.409989,-5.416414,4.448756
0.020000,3.823221,5.011959,0.182429,1.251005,4.301011,-5.448916,4.474932
0.020000,3.817314,4.985922,0.209128,1.334947,4.197085,-5.196282,4.503838
0.020000,3.811885,4.958106,0.237469,1.417055,4.105385,-4.584984,4.535580
0.020000,3.807125,4.928531,0.267424,1.497767,4.035602,-3.489145,4.570241
0.020000,3.803240,4.897216,0.298980,1.577762,3.999770,-1.791635,4.607861
0.020000,3.800447,4.864174,0.332139,1.657989,4.011367,0.579886,4.648427
0.020000,3.798979,4.829564,0.366781,1.732065,3.703772,-15.379774,4.691662
0.020000,3.799047,4.793684,0.402660,1.793969,3.095217,-30.427725,4.737006
0.020000,3.800819,4.756822,0.439565,1.845230,2.563058,-26.607972,4.783807
0.020000,3.804408,4.719255,0.477303,1.886921,2.084558,-23.924994,4.831354
0.020000,3.809872,4.681256,0.515693,1.919469,1.627371,-22.859351,4.878909
0.020000,3.817192,4.643196,0.554450,1.937891,0.921130,-35.312069,4.925641
0.020000,3.826268,4.605452,0.593270,1.940975,0.154181,-38.347454,4.970790
0.020000,3.836948,4.568324,0.631904,1.931683,-0.464613,-30.939703,5.013808
0.020000,3.849018,4.532121,0.670065,1.908097,-1.179269,-35.732782,5.054256
0.020000,3.862209,4.497162,0.707431,1.868278,-1.990959,-40.584473,5.091811
0.020000,3.876203,4.463766,0.743640,1.810435,-2.892163,-45.060226,5.126252
0.020000,3.890683,4.432163,0.778402,1.738132,-3.615145,-36.149107,5.157537
0.020000,3.905396,4.402425,0.811581,1.658943,-3.959434,-17.214441,5.185815
0.020000,3.920126,4.374558,0.843102,1.576037,-4.145327,-9.294629,5.211303
0.020000,3.934681,4.348565,0.872892,1.489518,-4.325928,-9.030057,5.234211
0.020000,3.948884,4.324444,0.900884,1.399591,-4.496349,-8.521062,5.254738
0.020000,3.962578,4.302189,0.927014,1.306515,-4.653828,-7.873960,5.273069
0.020000,3.975620,4.281791,0.951226,1.210577,-4.796891,-7.153159,5.289368
0.020000,3.987888,4.263239,0.973467,1.112075,-4.925095,-6.410204,5.303787
0.020000,3.999271,4.246520,0.993694,1.011303,-5.038600,-5.675217,5.316456
0.020000,4.009675,4.231622,1.011864,0.908545,-5.137911,-4.965566,5.327493
0.020000,4.019017,4.218533,1.027946,0.804065,-5.223991,-4.303985,5.336997
0.020000,4.027227,4.207240,1.041908,0.698113,-5.297625,-3.681730,5.345055
0.020000,4.034247,4.197732,1.053726,0.590919,-5.359655,-3.101487,5.351739
0.020000,4.040029,4.190000,1.063381,0.482710,-5.410455,-2.539988,5.357107
0.020000,4.044533,4.184036,1.070854,0.373690,-5.451012,-2.027879,5.361208
0.020000,4.047797,4.179744,1.076247,0.269607,-5.204155,12.342888,5.364137
0.020000,4.049982,4.176886,1.079844,0.179869,-4.486907,35.862407,5.366077
0.020000,4.051300,4.175168,1.082010,0.108299,-3.578501,45.420299,5.367241
0.020000,4.051971,4.174295,1.083110,0.055030,-2.663451,45.752482,5.367830
0.020000,4.052216,4.173976,1.083513,0.020137,-1.744655,45.939776,5.368046
0.020000,4.052261,4.173918,1.083586,0.003643,-0.824669,45.999297,5.368085
0.020000,4.052261,4.173918,1.083586,0.000000,-0.182165,32.125217,5.368085
