dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.252073,5.456428,0.000218,0.021793,1.089634,54.481694,4.303868
0.020000,3.251998,5.456254,0.000407,0.009459,-0.616706,-85.317018,4.304419
0.020000,3.251264,5.454553,0.002261,0.092677,4.160899,238.880255,4.305662
0.020000,3.249588,5.450651,0.006507,0.212312,5.981759,91.043041,4.307877
0.020000,3.246985,5.444542,0.013147,0.332006,5.984731,0.148593,4.311353
0.020000,3.243271,5.435720,0.022720,0.478633,7.331335,67.330182,4.316390
0.020000,3.238379,5.423908,0.035504,0.639200,8.028368,34.851638,4.323166
0.020000,3.232366,5.409067,0.051516,0.800642,8.072069,2.185051,4.331732
0.020000,3.225302,5.391145,0.070780,0.963194,8.127597,2.776409,4.342153
0.020000,3.217276,5.370082,0.093322,1.127059,8.193247,3.282528,4.354505
0.020000,3.208395,5.345806,0.119171,1.292459,8.270012,3.838251,4.368878
0.020000,3.198790,5.318240,0.148363,1.459599,8.357023,4.350520,4.385373
0.020000,3.188615,5.287296,0.180936,1.628665,8.453267,4.812224,4.404103
0.020000,3.178054,5.252884,0.216932,1.799797,8.556597,5.166465,4.425189
0.020000,3.167321,5.214910,0.256394,1.973087,8.664510,5.395648,4.448756
0.020000,3.156665,5.173281,0.299365,2.148550,8.773159,5.432464,4.474932
0.020000,3.146374,5.127912,0.345887,2.326094,8.877193,5.201692,4.503838
0.020000,3.136776,5.078730,0.395996,2.505465,8.968543,4.567537,4.535580
0.020000,3.128242,5.025688,0.449720,2.686217,9.037619,3.453779,4.570241
0.020000,3.121183,4.968771,0.507074,2.867679,9.073080,1.773042,4.607861
0.020000,3.116050,4.908009,0.568052,3.048907,9.061393,-0.584328,4.648427
0.020000,3.113326,4.843777,0.632342,3.214488,8.279051,-39.117120,4.691662
0.020000,3.113455,4.776804,0.699315,3.348660,6.708638,-78.520631,4.737006
0.020000,3.116767,4.707885,0.768313,3.449904,5.062176,-82.323102,4.783807
0.020000,3.123455,4.637861,0.838656,3.517153,3.362453,-84.986153,4.831354
0.020000,3.133558,4.567584,0.909656,3.549976,1.641169,-86.064218,4.878909
0.020000,3.146927,4.498054,0.980459,3.540193,-0.489178,-106.517369,4.925641
0.020000,3.163237,4.430206,1.050240,3.489009,-2.559169,-103.499522,4.970790
0.020000,3.182066,4.364727,1.118372,3.406634,-4.118778,-77.980460,5.013808
0.020000,3.202905,4.302209,1.184272,3.294966,-5.583371,-73.229636,5.054256
0.020000,3.225184,4.243153,1.247391,3.155956,-6.950506,-68.356760,5.091811
0.020000,3.248302,4.187972,1.307218,2.991381,-8.228782,-63.913788,5.126252
0.020000,3.271717,4.136864,1.363435,2.810845,-9.026763,-39.899070,5.157537
0.020000,3.295026,4.089742,1.416007,2.628567,-9.113933,-4.358505,5.185815
0.020000,3.317924,4.046422,1.465006,2.449991,-8.928788,9.257256,5.211303
0.020000,3.340153,4.006721,1.510507,2.275023,-8.748396,9.019628,5.234211
0.020000,3.361498,3.970469,1.552576,2.103462,-8.578051,8.517216,5.254738
0.020000,3.381778,3.937507,1.591277,1.935045,-8.420859,7.859624,5.273069
0.020000,3.400841,3.907691,1.626667,1.769483,-8.278115,7.137205,5.289368
0.020000,3.418562,3.880890,1.658796,1.606479,-8.150191,6.396210,5.303787
0.020000,3.434835,3.856989,1.687711,1.445743,-8.036809,5.669053,5.316456
0.020000,3.449573,3.835886,1.713451,1.286996,-7.937317,4.974624,5.327493
0.020000,3.462701,3.817491,1.736050,1.129971,-7.851260,4.302832,5.336997
0.020000,3.474161,3.801728,1.755539,0.974415,-7.777780,3.674029,5.345055
0.020000,3.483904,3.788533,1.771941,0.820093,-7.716128,3.082586,5.351739
0.020000,3.491890,3.777853,1.785276,0.666792,-7.665066,2.553098,5.357107
0.020000,3.498088,3.769644,1.795562,0.514303,-7.624427,2.031956,5.361208
0.020000,3.502569,3.763754,1.802963,0.370044,-7.212929,20.574895,5.364137
0.020000,3.505562,3.759839,1.807892,0.246410,-6.181729,51.559992,5.366077
0.020000,3.507366,3.757487,1.810855,0.148184,-4.911265,63.523189,5.367241
0.020000,3.508283,3.756294,1.812360,0.075246,-3.646940,63.216264,5.367830
0.020000,3.508618,3.755857,1.812911,0.027526,-2.386006,63.046697,5.368046
0.020000,3.508679,3.755778,1.813010,0.004980,-1.127294,62.935591,5.368085
0.020000,3.508679,3.755778,1.813010,0.000000,-0.248983,43.915552,5.368085
