dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.881432,5.183978,0.000218,0.021842,1.092083,54.604143,4.303822
0.020000,3.881515,5.184169,0.000427,0.010436,-0.570265,-83.117404,4.304431
0.020000,3.881108,5.183227,0.001454,0.051327,2.044509,130.738722,4.305804
0.020000,3.880062,5.180789,0.004107,0.132646,4.065986,101.073856,4.308259
0.020000,3.878444,5.176986,0.008239,0.206614,3.698364,-18.381092,4.312132
0.020000,3.876152,5.171525,0.014161,0.296125,4.475572,38.860354,4.317791
0.020000,3.873164,5.164272,0.022006,0.392218,4.804636,16.453203,4.325489
0.020000,3.869541,5.155254,0.031724,0.485927,4.685449,-5.959352,4.335365
0.020000,3.865362,5.144509,0.043254,0.576498,4.528551,-7.844889,4.347602
0.020000,3.860722,5.132086,0.056515,0.663039,4.327065,-10.074294,4.362434
0.020000,3.855740,5.118054,0.071405,0.744500,4.073075,-12.699517,4.380159
0.020000,3.850554,5.102504,0.087797,0.819607,3.755346,-15.886424,4.401146
0.020000,3.845328,5.085554,0.105535,0.886881,3.363677,-19.583461,4.425853
0.020000,3.840248,5.067360,0.124425,0.944490,2.880472,-24.160231,4.454842
0.020000,3.835522,5.048125,0.144231,0.990342,2.292585,-29.394390,4.488800
0.020000,3.831378,5.028109,0.164672,1.022021,1.583967,-35.430892,4.528553
0.020000,3.828050,5.007638,0.185412,1.037005,0.749182,-41.739252,4.575074
0.020000,3.825764,4.987105,0.206072,1.033007,-0.199914,-47.454760,4.629469
0.020000,3.824712,4.966956,0.226248,1.008787,-1.210986,-50.553615,4.692919
0.020000,3.825018,4.947736,0.245471,0.961144,-2.382177,-58.559535,4.766151
0.020000,3.826694,4.929932,0.263353,0.894102,-3.352075,-48.494946,4.849024
0.020000,3.829661,4.913731,0.279824,0.823567,-3.526757,-8.734080,4.940468
0.020000,3.833857,4.898923,0.295214,0.769516,-2.702527,41.211521,5.038248
0.020000,3.839372,4.884962,0.310226,0.750563,-0.947678,87.742422,5.139044
0.020000,3.846488,4.871200,0.325718,0.774620,1.202863,107.527048,5.238720
0.020000,3.855594,4.857147,0.342463,0.837269,3.132442,96.478962,5.333398
0.020000,3.867014,4.842613,0.360948,0.924204,4.346771,60.716450,5.420389
0.020000,3.880826,4.827735,0.381248,1.015034,4.541493,9.736106,5.498193
0.020000,3.896805,4.812855,0.403083,1.091737,3.835133,-35.318023,5.566359
0.020000,3.914470,4.798379,0.425921,1.141896,2.507959,-66.358704,5.625163
0.020000,3.933224,4.784642,0.449168,1.162362,1.023284,-74.233723,5.675415
0.020000,3.952528,4.771833,0.472335,1.158343,-0.200950,-61.211729,5.718259
0.020000,3.971924,4.760042,0.495034,1.134955,-1.169370,-48.420999,5.754826
0.020000,3.991014,4.749302,0.516938,1.095203,-1.987624,-40.912673,5.786069
0.020000,4.009463,4.739614,0.537777,1.041920,-2.664142,-33.825892,5.812777
0.020000,4.026993,4.730954,0.557328,0.977594,-3.216303,-27.608076,5.835594
0.020000,4.043374,4.723288,0.575414,0.904299,-3.664745,-22.422100,5.855043
0.020000,4.058418,4.716573,0.591889,0.823756,-4.027147,-18.120101,5.871545
0.020000,4.071975,4.710767,0.606637,0.737378,-4.318903,-14.587802,5.885443
0.020000,4.083921,4.705830,0.619563,0.646320,-4.552877,-11.698665,5.897008
0.020000,4.094159,4.701724,0.630594,0.551537,-4.739166,-9.314484,5.906458
0.020000,4.102612,4.698416,0.639671,0.453826,-4.885546,-7.318981,5.913963
0.020000,4.109220,4.695881,0.646748,0.353868,-4.997897,-5.617553,5.919655
0.020000,4.114028,4.694063,0.651889,0.257039,-4.841445,7.822583,5.923705
0.020000,4.117260,4.692853,0.655339,0.172522,-4.225868,30.778876,5.926385
0.020000,4.119222,4.692124,0.657433,0.104677,-3.392268,41.679987,5.927996
0.020000,4.120232,4.691750,0.658510,0.053844,-2.541617,42.532541,5.928820
0.020000,4.120611,4.691609,0.658914,0.020212,-1.681636,42.999071,5.929129
0.020000,4.120683,4.691583,0.658991,0.003853,-0.817929,43.185357,5.929188
0.020000,4.120683,4.691583,0.658991,0.000000,-0.192649,31.263971,5.929188
