dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.566755,5.320210,0.000218,0.021842,1.092083,54.604143,4.303822
0.020000,3.566755,5.320210,0.001092,0.065525,2.184166,54.604143,4.304431
0.020000,3.566163,5.318835,0.003058,0.131050,3.276249,54.604143,4.305804
0.020000,3.564784,5.315624,0.006552,0.218417,4.368331,54.604143,4.308259
0.020000,3.562647,5.310599,0.012013,0.327625,5.460414,54.604143,4.312132
0.020000,3.559604,5.303349,0.019876,0.458675,6.552497,54.604143,4.317791
0.020000,3.555610,5.293655,0.030360,0.589725,6.552497,-0.000000,4.325489
0.020000,3.550725,5.281495,0.043465,0.720775,6.552497,0.000000,4.335365
0.020000,3.545025,5.266838,0.059191,0.851825,6.552497,0.000000,4.347602
0.020000,3.538606,5.249651,0.077538,0.982875,6.552497,-0.000000,4.362434
0.020000,3.531590,5.229892,0.098506,1.113925,6.552497,0.000000,4.380159
0.020000,3.524129,5.207514,0.122095,1.244974,6.552497,0.000000,4.401146
0.020000,3.516408,5.182468,0.148305,1.376024,6.552497,0.000000,4.425853
0.020000,3.508657,5.154700,0.177136,1.507074,6.552497,-0.000000,4.454842
0.020000,3.501158,5.124156,0.208588,1.638124,6.552497,0.000000,4.488800
0.020000,3.494256,5.090792,0.242661,1.769174,6.552497,0.000000,4.528553
0.020000,3.488378,5.054575,0.279355,1.900224,6.552497,-0.000000,4.575074
0.020000,3.484042,5.015505,0.318670,2.031274,6.552497,0.000000,4.629469
0.020000,3.481877,4.973632,0.360606,2.162324,6.552497,-0.000000,4.692919
0.020000,3.482614,4.929310,0.404944,2.271532,5.460414,-54.604143,4.766151
0.020000,3.486990,4.883226,0.451249,2.358899,4.368331,-54.604143,4.849024
0.020000,3.495641,4.836199,0.499082,2.424424,3.276249,-54.604143,4.940468
0.020000,3.509002,4.789153,0.548007,2.468107,2.184166,-54.604143,5.038248
0.020000,3.527211,4.743060,0.597588,2.489949,1.092083,-54.604143,5.139044
0.020000,3.549998,4.698940,0.647265,2.477825,-0.606176,-84.912943,5.238720
0.020000,3.576717,4.657629,0.696482,2.443860,-1.698259,-54.604143,5.333398
0.020000,3.606525,4.619620,0.744801,2.388053,-2.790342,-54.604143,5.420389
0.020000,3.638457,4.585170,0.791786,2.310405,-3.882425,-54.604143,5.498193
0.020000,3.671522,4.554345,0.836999,2.210915,-4.974507,-54.604143,5.566359
0.020000,3.704768,4.527076,0.880004,2.089583,-6.066590,-54.604143,5.625163
0.020000,3.737414,4.503148,0.920485,1.958533,-6.552497,-24.295343,5.675415
0.020000,3.768955,4.482210,0.958346,1.827483,-6.552497,-0.000000,5.718259
0.020000,3.799062,4.463901,0.993585,1.696433,-6.552497,-0.000000,5.754826
0.020000,3.827488,4.447906,1.026203,1.565383,-6.552497,0.000000,5.786069
0.020000,3.854044,4.433958,1.056200,1.434333,-6.552497,0.000000,5.812777
0.020000,3.878587,4.421833,1.083576,1.303283,-6.552497,-0.000000,5.835594
0.020000,3.901008,4.411338,1.108331,1.172233,-6.552497,0.000000,5.855043
0.020000,3.921220,4.402317,1.130466,1.041183,-6.552497,0.000000,5.871545
0.020000,3.939157,4.394635,1.149979,0.910133,-6.552497,-0.000000,5.885443
0.020000,3.954768,4.388182,1.166871,0.779084,-6.552497,0.000000,5.897008
0.020000,3.968014,4.382870,1.181142,0.648034,-6.552497,0.000000,5.906458
0.020000,3.978863,4.378625,1.192792,0.516984,-6.552497,0.000000,5.913963
0.020000,3.987293,4.375390,1.201821,0.385934,-6.552497,0.000000,5.919655
0.020000,3.993400,4.373081,1.208351,0.267007,-5.946321,30.308800,5.923705
0.020000,3.997492,4.371550,1.212720,0.169922,-4.854238,54.604143,5.926385
0.020000,3.999972,4.370627,1.215366,0.094679,-3.762155,54.604143,5.927996
0.020000,4.001247,4.370155,1.216726,0.041278,-2.670073,54.604143,5.928820
0.020000,4.001726,4.369978,1.217236,0.009718,-1.577990,54.604143,5.929129
0.020000,4.001817,4.369944,1.217333,0.000000,-0.485907,54.604143,5.929188
0.020000,4.001817,4.369944,1.217333,0.000000,0.000000,24.295343,5.929188
