dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,3.252079,5.456442,0.000218,0.021842,1.092083,54.604143,4.303822
0.020000,3.251996,5.456251,0.000427,0.010436,-0.570265,-83.117404,4.304431
0.020000,3.251217,5.454444,0.002395,0.098404,4.398381,248.432317,4.305804
0.020000,3.249507,5.450459,0.006732,0.216832,5.921391,76.150501,4.308259
0.020000,3.246849,5.444212,0.013520,0.339431,6.129950,10.427929,4.312132
0.020000,3.243055,5.435172,0.023324,0.490169,7.536889,70.346984,4.317791
0.020000,3.238056,5.423038,0.036448,0.656186,8.300870,38.199046,4.325489
0.020000,3.231909,5.407735,0.052939,0.824566,8.418985,5.905715,4.335365
0.020000,3.224688,5.389168,0.072861,0.996088,8.576124,7.856972,4.347602
0.020000,3.216490,5.367216,0.096293,1.171640,8.777601,10.073844,4.362434
0.020000,3.207441,5.341729,0.123339,1.352279,9.031960,12.717941,4.380159
0.020000,3.197704,5.312525,0.154124,1.539232,9.347625,15.783274,4.401146
0.020000,3.187489,5.279382,0.188805,1.734060,9.741390,19.688220,4.425853
0.020000,3.177067,5.242039,0.227575,1.938503,10.222160,24.038528,4.454842
0.020000,3.166793,5.200188,0.270669,2.154713,10.810513,29.417662,4.488800
0.020000,3.157134,5.153475,0.318370,2.385048,11.516749,35.311793,4.528553
0.020000,3.148705,5.101513,0.371011,2.632054,12.350307,41.677875,4.575074
0.020000,3.142320,5.043906,0.428971,2.898006,13.297595,47.364420,4.629469
0.020000,3.139042,4.980308,0.492654,3.184110,14.305194,50.379947,4.692919
0.020000,3.140209,4.910883,0.562088,3.471721,14.380536,3.767070,4.766151
0.020000,3.147286,4.836519,0.636788,3.735000,13.163958,-60.828857,4.849024
0.020000,3.161621,4.758666,0.715950,3.958083,11.154167,-100.489592,4.940468
0.020000,3.184147,4.679383,0.798371,4.121058,8.148756,-150.270519,5.038248
0.020000,3.215051,4.601159,0.882479,4.205391,4.216618,-196.606891,5.139044
0.020000,3.253507,4.526679,0.966300,4.191093,-0.714902,-246.576027,5.238720
0.020000,3.297839,4.458110,1.047952,4.082573,-5.426006,-235.555166,5.333398
0.020000,3.346036,4.396626,1.126076,3.906182,-8.819507,-169.675088,5.420389
0.020000,3.396089,4.342605,1.199720,3.682243,-11.196950,-118.872157,5.498193
0.020000,3.446238,4.295834,1.268295,3.428707,-12.676822,-73.993573,5.566359
0.020000,3.495066,4.255772,1.331454,3.157981,-13.536282,-42.973000,5.625163
0.020000,3.541605,4.221653,1.389161,2.885320,-13.633045,-4.838146,5.675415
0.020000,3.585382,4.192587,1.441708,2.627378,-12.897113,36.796569,5.718259
0.020000,3.626200,4.167760,1.489483,2.388763,-11.930749,48.318222,5.754826
0.020000,3.663961,4.146510,1.532813,2.166483,-11.113991,40.837898,5.786069
0.020000,3.698624,4.128303,1.571967,1.957703,-10.439000,33.749562,5.812777
0.020000,3.730182,4.112711,1.607167,1.759967,-9.886807,27.609657,5.835594
0.020000,3.758642,4.099389,1.638590,1.571181,-9.439334,22.373611,5.855043
0.020000,3.784021,4.088060,1.666383,1.389632,-9.077447,18.094388,5.871545
0.020000,3.806339,4.078502,1.690661,1.213920,-8.785601,14.592256,5.885443
0.020000,3.825615,4.070535,1.711519,1.042887,-8.551613,11.699445,5.897008
0.020000,3.841868,4.064016,1.729030,0.875577,-8.365538,9.303710,5.906458
0.020000,3.855114,4.058833,1.743254,0.711188,-8.219442,7.304802,5.913963
0.020000,3.865366,4.054900,1.754235,0.549045,-8.107124,5.615893,5.919655
0.020000,3.872772,4.052099,1.762153,0.395913,-7.656629,22.524750,5.923705
0.020000,3.877725,4.050246,1.767441,0.264406,-6.575354,54.063754,5.926385
0.020000,3.880723,4.049131,1.770640,0.159917,-5.224406,67.547429,5.927996
0.020000,3.882263,4.048560,1.772282,0.082112,-3.890294,66.705578,5.928820
0.020000,3.882840,4.048347,1.772898,0.030797,-2.565754,66.227016,5.929129
0.020000,3.882950,4.048306,1.773015,0.005869,-1.246365,65.969454,5.929188
0.020000,3.882950,4.048306,1.773015,0.000000,-0.293462,47.645150,5.929188
