dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.657100,5.000000,0.000219,0.021852,1.092592,54.629610,4.712389
0.020000,4.657100,4.999907,0.000311,0.004630,-0.861112,-97.685195,4.712389
0.020000,4.657100,4.997941,0.002278,0.098333,4.685184,277.314805,4.712389
0.020000,4.657100,4.994444,0.005774,0.174815,3.824073,-43.055586,4.712389
0.020000,4.657100,4.988981,0.011237,0.273148,4.916665,54.629610,4.712389
0.020000,4.657100,4.981115,0.019104,0.393333,6.009257,54.629610,4.712389
0.020000,4.657100,4.970626,0.029593,0.524444,6.555553,27.314805,4.712389
0.020000,4.657100,4.957515,0.042704,0.655555,6.555553,-0.000000,4.712389
0.020000,4.657100,4.941782,0.058437,0.786666,6.555553,0.000000,4.712389
0.020000,4.657100,4.923426,0.076793,0.917777,6.555553,0.000000,4.712389
0.020000,4.657100,4.902448,0.097770,1.048889,6.555553,-0.000000,4.712389
0.020000,4.657100,4.878848,0.121370,1.180000,6.555553,0.000000,4.712389
0.020000,4.657100,4.852626,0.147593,1.311111,6.555553,-0.000000,4.712389
0.020000,4.657100,4.823782,0.176437,1.442222,6.555553,0.000000,4.712389
0.020000,4.657100,4.792315,0.207904,1.573333,6.555553,0.000000,4.712389
0.020000,4.657100,4.758226,0.241993,1.704444,6.555553,-0.000000,4.712389
0.020000,4.657100,4.721515,0.278704,1.835555,6.555553,0.000000,4.712389
0.020000,4.657100,4.682400,0.317818,1.955740,6.009257,-27.314805,4.712389
0.020000,4.657100,4.641319,0.358900,2.054073,4.916665,-54.629610,4.712389
0.020000,4.657100,4.598708,0.401511,2.130555,3.824073,-54.629610,4.712389
0.020000,4.657100,4.555004,0.445215,2.185184,2.731480,-54.629610,4.712389
0.020000,4.657100,4.510645,0.489574,2.217962,1.638888,-54.629610,4.712389
0.020000,4.657100,4.466186,0.534033,2.222935,0.248643,-69.512277,4.712389
0.020000,4.657100,4.422184,0.578035,2.200103,-1.141603,-69.512277,4.712389
0.020000,4.657100,4.379075,0.621143,2.155419,-2.234195,-54.629610,4.712389
0.020000,4.657100,4.337298,0.662921,2.088883,-3.326787,-54.629610,4.712389
0.020000,4.657100,4.297288,0.702931,2.000496,-4.419379,-54.629610,4.712389
0.020000,4.657100,4.259483,0.740736,1.890256,-5.511972,-54.629610,4.712389
0.020000,4.657100,4.224200,0.776018,1.764118,-6.306910,-39.746942,4.712389
0.020000,4.657100,4.191540,0.808678,1.633007,-6.555553,-12.432137,4.712389
0.020000,4.657100,4.161502,0.838716,1.501896,-6.555553,0.000000,4.712389
0.020000,4.657100,4.134087,0.866132,1.370785,-6.555553,-0.000000,4.712389
0.020000,4.657100,4.109293,0.890925,1.239674,-6.555553,0.000000,4.712389
0.020000,4.657100,4.087122,0.913097,1.108563,-6.555553,-0.000000,4.712389
0.020000,4.657100,4.067573,0.932646,0.977452,-6.555553,0.000000,4.712389
0.020000,4.657100,4.050646,0.949572,0.846341,-6.555553,-0.000000,4.712389
0.020000,4.657100,4.036341,0.963877,0.715230,-6.555553,0.000000,4.712389
0.020000,4.657100,4.024659,0.975559,0.584119,-6.555553,-0.000000,4.712389
0.020000,4.657100,4.015599,0.984620,0.453007,-6.555553,0.000000,4.712389
0.020000,4.657100,4.009042,0.991177,0.327849,-6.257900,14.882667,4.712389
0.020000,4.657100,4.004651,0.995568,0.219570,-5.413950,42.197472,4.712389
0.020000,4.657100,4.001988,0.998231,0.133143,-4.321358,54.629610,4.712389
0.020000,4.657100,4.000616,0.999602,0.068568,-3.228766,54.629610,4.712389
0.020000,4.657100,4.000099,1.000119,0.025844,-2.136174,54.629610,4.712389
0.020000,4.657100,4.000000,1.000219,0.004973,-1.043582,54.629610,4.712389
0.020000,4.657100,4.000000,1.000219,0.000000,-0.248643,39.746942,4.712389
