dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,5.000000,5.000000,0.000219,0.021852,1.092592,54.629610,4.712389
0.020000,5.000000,4.999907,0.001093,0.065556,2.185184,54.629610,4.712389
0.020000,5.000000,4.997941,0.003059,0.131111,3.277777,54.629610,4.712389
0.020000,5.000000,4.994444,0.006556,0.218518,4.370369,54.629610,4.712389
0.020000,5.000000,4.988981,0.012019,0.327778,5.462961,54.629610,4.712389
0.020000,5.000000,4.981115,0.019885,0.458889,6.555553,54.629610,4.712389
0.020000,5.000000,4.970626,0.030374,0.590000,6.555553,-0.000000,4.712389
0.020000,5.000000,4.957515,0.043485,0.721111,6.555553,0.000000,4.712389
0.020000,5.000000,4.941782,0.059218,0.852222,6.555553,-0.000000,4.712389
0.020000,5.000000,4.923426,0.077574,0.983333,6.555553,0.000000,4.712389
0.020000,5.000000,4.902448,0.098552,1.114444,6.555553,-0.000000,4.712389
0.020000,5.000000,4.878848,0.122152,1.245555,6.555553,0.000000,4.712389
0.020000,5.000000,4.852626,0.148374,1.376666,6.555553,0.000000,4.712389
0.020000,5.000000,4.823782,0.177218,1.507777,6.555553,-0.000000,4.712389
0.020000,5.000000,4.792315,0.208685,1.638888,6.555553,0.000000,4.712389
0.020000,5.000000,4.758226,0.242774,1.769999,6.555553,-0.000000,4.712389
0.020000,5.000000,4.721515,0.279485,1.901110,6.555553,0.000000,4.712389
0.020000,5.000000,4.682400,0.318600,2.010370,5.462961,-54.629610,4.712389
0.020000,5.000000,4.641319,0.359681,2.097777,4.370369,-54.629610,4.712389
0.020000,5.000000,4.598708,0.402292,2.163333,3.277777,-54.629610,4.712389
0.020000,5.000000,4.555004,0.445996,2.207036,2.185184,-54.629610,4.712389
0.020000,5.000000,4.510645,0.490355,2.228888,1.092592,-54.629610,4.712389
0.020000,5.000000,4.466186,0.534814,2.216982,-0.595307,-84.394944,4.712389
0.020000,5.000000,4.422184,0.578816,2.183224,-1.687899,-54.629610,4.712389
0.020000,5.000000,4.379075,0.621925,2.127614,-2.780491,-54.629610,4.712389
0.020000,5.000000,4.337298,0.663702,2.050152,-3.873083,-54.629610,4.712389
0.020000,5.000000,4.297288,0.703712,1.950839,-4.965675,-54.629610,4.712389
0.020000,5.000000,4.259483,0.741517,1.829674,-6.058268,-54.629610,4.712389
0.020000,5.000000,4.224200,0.776800,1.698563,-6.555553,-24.864275,4.712389
0.020000,5.000000,4.191540,0.809460,1.567451,-6.555553,0.000000,4.712389
0.020000,5.000000,4.161502,0.839498,1.436340,-6.555553,0.000000,4.712389
0.020000,5.000000,4.134087,0.866913,1.305229,-6.555553,0.000000,4.712389
0.020000,5.000000,4.109293,0.891707,1.174118,-6.555553,-0.000000,4.712389
0.020000,5.000000,4.087122,0.913878,1.043007,-6.555553,0.000000,4.712389
0.020000,5.000000,4.067573,0.933427,0.911896,-6.555553,-0.000000,4.712389
0.020000,5.000000,4.050646,0.950354,0.780785,-6.555553,0.000000,4.712389
0.020000,5.000000,4.036341,0.964659,0.649674,-6.555553,-0.000000,4.712389
0.020000,5.000000,4.024659,0.976341,0.518563,-6.555553,0.000000,4.712389
0.020000,5.000000,4.015599,0.985401,0.387452,-6.555553,-0.000000,4.712389
0.020000,5.000000,4.009042,0.991958,0.268247,-5.960246,29.765335,4.712389
0.020000,5.000000,4.004651,0.996349,0.170894,-4.867654,54.629610,4.712389
0.020000,5.000000,4.001988,0.999012,0.095393,-3.775062,54.629610,4.712389
0.020000,5.000000,4.000616,1.000384,0.041743,-2.682470,54.629610,4.712389
0.020000,5.000000,4.000099,1.000901,0.009946,-1.589878,54.629610,4.712389
0.020000,5.000000,4.000000,1.001000,0.000000,-0.497285,54.629610,4.712389
0.020000,5.000000,4.000000,1.001000,0.000000,0.000000,24.864275,4.712389
